Title,link,comment
"ABC World News Tonight with David Muir Full Broadcast - Jan. 28, 2026",https://www.youtube.com/watch?v=yF0FIf4lc1I,"Whatever that helicopter surfing lineman is getting paid, it's not enough."
"ABC World News Tonight with David Muir Full Broadcast - Jan. 28, 2026",https://www.youtube.com/watch?v=yF0FIf4lc1I,Nobody noticed the gentleman repairing a high tension line from an airborne helicopter in Mississippi?  There should be a medal for people like him.  He was putting his life on the line - literally and figuratively.
"ABC World News Tonight with David Muir Full Broadcast - Jan. 28, 2026",https://www.youtube.com/watch?v=yF0FIf4lc1I,Everything is freaking nuts😢😢😢😢😢
"ABC World News Tonight with David Muir Full Broadcast - Jan. 28, 2026",https://www.youtube.com/watch?v=yF0FIf4lc1I,Release the files.
"ABC World News Tonight with David Muir Full Broadcast - Jan. 28, 2026",https://www.youtube.com/watch?v=yF0FIf4lc1I,That's it I'm cutting off my Internet and watching Andy Griffith from here on out.
"ABC World News Tonight with David Muir Full Broadcast - Jan. 28, 2026",https://www.youtube.com/watch?v=yF0FIf4lc1I,He is still looking for votes 🗳 in Georgia??!!
"ABC World News Tonight with David Muir Full Broadcast - Jan. 28, 2026",https://www.youtube.com/watch?v=yF0FIf4lc1I,Hell is freezing over.
"ABC World News Tonight with David Muir Full Broadcast - Jan. 28, 2026",https://www.youtube.com/watch?v=yF0FIf4lc1I,"Release ""The Trump Files!"" 😂"
"ABC World News Tonight with David Muir Full Broadcast - Jan. 28, 2026",https://www.youtube.com/watch?v=yF0FIf4lc1I,Those first responders on the plough trucks and graders are the best !!!
"ABC World News Tonight with David Muir Full Broadcast - Jan. 28, 2026",https://www.youtube.com/watch?v=yF0FIf4lc1I,Impeach Noem and Dump now!
This Morning’s Top Headlines – Jan. 29 | Morning News NOW,https://www.youtube.com/watch?v=ph40w0rsDvM,It was wrong the way the Whitehouse is trying to put the blame on others
This Morning’s Top Headlines – Jan. 29 | Morning News NOW,https://www.youtube.com/watch?v=ph40w0rsDvM,That’s crazy ubiquity is purposely dodging sanctions to sell equipment to Russia
This Morning’s Top Headlines – Jan. 29 | Morning News NOW,https://www.youtube.com/watch?v=ph40w0rsDvM,They rated it again or is this old news you're showing us again?
This Morning’s Top Headlines – Jan. 29 | Morning News NOW,https://www.youtube.com/watch?v=ph40w0rsDvM,"Tariffs are a tax on Americans. Why did the President say otherwise on the campaign trail?

Let's have the Epstein Files and less distraction away from them. Why are they still refusing to release them?"
This Morning’s Top Headlines – Jan. 29 | Morning News NOW,https://www.youtube.com/watch?v=ph40w0rsDvM,God bless America
This Morning’s Top Headlines – Jan. 29 | Morning News NOW,https://www.youtube.com/watch?v=ph40w0rsDvM,"Remember when we protest, let's do it peacefully. Do not let people get hurt or in a situation where they would get hurt or arrested. God bless America"
This Morning’s Top Headlines – Jan. 29 | Morning News NOW,https://www.youtube.com/watch?v=ph40w0rsDvM,The system is ment to fail .this is meant to happen.its time to fight back
This Morning’s Top Headlines – Jan. 29 | Morning News NOW,https://www.youtube.com/watch?v=ph40w0rsDvM,This Morning's Top Headlines - January 29
This Morning’s Top Headlines – Jan. 29 | Morning News NOW,https://www.youtube.com/watch?v=ph40w0rsDvM,"Iran and US relations; War.  Afghan 2001, Iraq 2005 Wars. Bush and Cheney seen in New York, weren't free, detonation problem in a drink was said on TV the next day.  15 years before they'd can remove the detonation devices."
This Morning’s Top Headlines – Jan. 29 | Morning News NOW,https://www.youtube.com/watch?v=ph40w0rsDvM,Charlie Who 🤔💥
Newsom responds as MAJOR fraud allegations surface,https://www.youtube.com/watch?v=sMPhcb6kYs0,"It’s no wonder we can’t make positive changes to social services, they’re stealing all the money."
Newsom responds as MAJOR fraud allegations surface,https://www.youtube.com/watch?v=sMPhcb6kYs0,Revoked 280k licenses?  Why were they granted in the first place?
Newsom responds as MAJOR fraud allegations surface,https://www.youtube.com/watch?v=sMPhcb6kYs0,Millions of taxpayer's dollars are being stolen to finance a fake homeless assistance program.   The US government need to investigate in California.
Newsom responds as MAJOR fraud allegations surface,https://www.youtube.com/watch?v=sMPhcb6kYs0,Love to know how Newsom was able to buy a 9 million dollar Mansion.
Newsom responds as MAJOR fraud allegations surface,https://www.youtube.com/watch?v=sMPhcb6kYs0,The more they deflect or scream the more you look into it.
Newsom responds as MAJOR fraud allegations surface,https://www.youtube.com/watch?v=sMPhcb6kYs0,Newsom accusing others of his own crimes
Newsom responds as MAJOR fraud allegations surface,https://www.youtube.com/watch?v=sMPhcb6kYs0,🤔.       All this money missing and being stolen TELLS ME WE ARE PAYING WAY TO MUCH IN TAXES BECAUSE THEY DONT EVEN KNOW ITS MISSING
Newsom responds as MAJOR fraud allegations surface,https://www.youtube.com/watch?v=sMPhcb6kYs0,Check the California public schools….
Newsom responds as MAJOR fraud allegations surface,https://www.youtube.com/watch?v=sMPhcb6kYs0,Banned NEW hospices...But allows the current open ones to continue to rip us off?
Newsom responds as MAJOR fraud allegations surface,https://www.youtube.com/watch?v=sMPhcb6kYs0,"more corruption 
still no arrests
go figure"
This Morning’s Top Headlines – Jan. 28 | Morning News NOW,https://www.youtube.com/watch?v=iiDbBt5Es90,I think everyone knows that things will never be normal again.
This Morning’s Top Headlines – Jan. 28 | Morning News NOW,https://www.youtube.com/watch?v=iiDbBt5Es90,Get her out of any government position!!
This Morning’s Top Headlines – Jan. 28 | Morning News NOW,https://www.youtube.com/watch?v=iiDbBt5Es90,Haha. Don’t think Steven Spielberg produced this scene. Maybe it’s a Spike Lee Joint.
This Morning’s Top Headlines – Jan. 28 | Morning News NOW,https://www.youtube.com/watch?v=iiDbBt5Es90,I just want to see the investigation into her new found wealth with all the corruption in Minnesota
This Morning’s Top Headlines – Jan. 28 | Morning News NOW,https://www.youtube.com/watch?v=iiDbBt5Es90,THE DECLARATION OF INDEPENDENCE. THE RIGHT TO ALTER OR ABOLISH YOUR USA GOVERNMENT PEACEFULLY AND LEGALLY WITH REFERENDUM OTHERWISE IT IS TREASON...!!!!
