post_id,username,created_at,comment_text
owEGNvHbexM,@AnwerHashimSamnani,2026-02-08T03:58:02Z,May Love And Peace Prevail In The World....
owEGNvHbexM,@briangarrett2497,2026-02-08T03:02:44Z,I hope their mother has found Safe. It’s sad when people take advantage of the elderly and families that care about family members pray for that family hope the best.
owEGNvHbexM,@marvwatkins7029,2026-02-08T02:27:07Z,"That ""White House staffer"" is named Donald Trump."
owEGNvHbexM,@Nitorii.Kawashiro,2026-02-08T02:14:00Z,Well anyone going to the Superbowl be safe.
owEGNvHbexM,@curtj8605,2026-02-08T03:25:13Z,How can the homeless stay inside 😢😢😢...
owEGNvHbexM,@irichardwilling,2026-02-08T02:27:30Z,narcissists never make mistakes it's always someone ele's fault too
owEGNvHbexM,@JenniferWhitebear,2026-02-08T05:00:24Z,Prayers for all the people in the bad weather
owEGNvHbexM,@irichardwilling,2026-02-08T02:29:17Z,return their mother please
owEGNvHbexM,@eugenehamby7167,2026-02-08T05:46:23Z,God bless Little Jon's  family  and god bless his sons soul.
owEGNvHbexM,@salyol7,2026-02-08T02:52:01Z,Deadly cold if you are a homeless
8cCRL4fqY54,@RickyPotter-i8f,2026-02-08T13:40:56Z,"You've been called, time to show your hand"
8cCRL4fqY54,@zullkifflie,2026-02-08T13:52:47Z,"Always smart inprovice inprofment strongly for country & always love lovely Iranian .
Long Lived Iranian .
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤"
8cCRL4fqY54,@Miamidadenights,2026-02-08T18:47:49Z,Their fighting in kayaks? Oh man their screwed.
8cCRL4fqY54,@MusaLoum-gv9bi,2026-02-08T18:40:24Z,"Over a month they have been moving closer, is there some traffic police at sea?"
8cCRL4fqY54,@KirenKK-te7pb,2026-02-08T17:13:50Z,It is the new B21s that will play up this time as the Aircraft Carriers distract. Every weapon is in place
8cCRL4fqY54,@ДилафрузЭркулова,2026-02-08T14:17:59Z,🇮🇷🇮🇷🤝💪🫂
8cCRL4fqY54,@deanmann2210,2026-02-08T14:46:36Z,"AMERICAN ENVOY ON A CARREIR .,,,IRAN ENVOY ON A SPEED BOAT 🤣🤣🤣🤣"
8cCRL4fqY54,@sivakumardupaguntla5327,2026-02-08T14:04:42Z,We pray lord Lakshmi Narasimha swami lord shiva Parvati to protect the world
8cCRL4fqY54,@maxmcquinnjr.3096,2026-02-08T18:56:22Z,"We tried, get our people out  these people are out of their minds."
8cCRL4fqY54,@Michael-x2u4m,2026-02-08T16:42:51Z,We got 2 more oil tankers! Irans tankers! 😊😊😊
gI6Dwtk77Ls,@CraigSpring-s1o,2026-02-06T17:46:01Z,"No one posts a racist AI video ""By Mistake""."
gI6Dwtk77Ls,@NeRd_GaZm,2026-02-06T17:56:01Z,Caroline Levitt defending it is disgusting
gI6Dwtk77Ls,@Qball-v4s,2026-02-06T17:29:42Z,The Obamas should sue Trump the way he sues everyone who says nasty things about him.
gI6Dwtk77Ls,@bill1230-f9w,2026-02-07T02:57:28Z,This is what they voted for.
gI6Dwtk77Ls,@Onelovetv-i2j,2026-02-06T19:38:39Z,This is the person Nicki Minaj defending
gI6Dwtk77Ls,@SoillessMedia,2026-02-06T18:30:33Z,The guy rounding up brown people is posting racist memes. Shocking
gI6Dwtk77Ls,@coopart1,2026-02-06T17:29:28Z,"MAGA will love it, while 80 percent of America will be disgusted . But yet here we are"
